#,Kingdom Name,Population,Best power clan name,Best kills clan name,Best power player name,Best kills player name
313,#253 Cromothen,2865,Messengers of Death,Messengers of Death,Sword flame,Uranof
314,#702 Milvrstrum,2864,JRW,JRW,GYB AJ,Baby  Sunny
315,#573 Castlenagh,2857,Vietnam Bro,Vietnam Bro,KillerRabbit,Fallen Leaf
316,#340 Bolshoven,2854,GLI IMMORTALI,GLI IMMORTALI,AntoSuperBRN,V1 XiaoRoyal
317,#404 Bellindon,2847,Arawnians,PSYCHO KILLERS,Vivicia,FearlesS 0
318,#307 Grieslohn,2843,Feifei ai Xiaoyu,Death or Victory,d13nv3,KT4  2019
319,#520 Dargat,2838,R H B,R H B,PIPINO,XC Dayema
320,#643 Bredafoort,2836,Maruokuns Red Roses,Maruokuns Red Roses,ZG TF luo2,Yakayak V
321,#269 Etrenitia,2829,Lannister House,Lannister House,cvs cxunmz,Daddy Scout
322,#484 Tsenger,2827,Warriors of Longinus,Warriors of Longinus,liontarini,Meringue
323,#634 Eisenstatt,2827,A Happy Family,Crazy Jokers,Hooky,Papa Pabu
324,#397 Montetone,2817,Sweet Honey,Dragon For Life,Cobra316,ALKASEER YAR
325,#547 Duskstrand,2812,Silent ConQuerors,Silent ConQuerors,BarbadosSlim,xKshippingx
326,#490 Grimevale,2783,FYX,FYX,nik722209,nik722209
327,#489 Durarange,2776,Inglorious Basterds,Indonesia Go squad,Trail Run,The BearJew
328,#323 Louronhel,2775,love  lingege,love  lingege,Direk29,TNy 11111111
329,#615 Belbridge,2768,SAME ENERGY,SAME ENERGY,Furn09QC,Bimmer F10
330,#150 Zwarudel,2756,ATA TURKIYE,ATA TURKIYE,PRtiatia,M a  r  c  o
331,#301 Liesring,2755,My First Story,DikPunchInc,T Swift,T Swift
332,#705 Trumid,2751,Joel Campagna,Joel Campagna,Mr DressUp,Mr DressUp
333,#215 Wrisidora,2745,Russian brothers,Russian brothers,General Cat,lehaSzavoda
334,#102 Prilgow,2744,BECEJIb4AKU,BECEJIb4AKU,BaBaa YagAa1,KURSAT1453
335,#310 Steinhelle,2742,DLC,Gods and Souls,MhoiArmY,Zz dashu
336,#288 Phredoria,2737,Xtra Deadly,Xtra Deadly,koni s4,90100
337,#54 Kegradale,2734,BAY,Chinese soldier club,CSC Champion,TF Duty
338,#523 Elgrunn,2730,103222,103222,LK Esukanoru,LK liang666
339,#36 Urusia,2729,Korea Monster Corp,The Hidden Wizards,VN 0TUAN0 VN,H HIDDEN
340,#171 Orterra,2729,Our family,Our family,Tie Dandan,SH4 shdHicMM
341,#359 Cogona,2726,392Challenger,392Challenger,Just Relaxin,Zhao Yun VN
342,#276 Gourith,2713,6666666666666666666,Indo Three Kingdom,NightMareVIP,TK Vinsmoke
343,#698 Wadensson,2712,CH8,I MISS you yy,JH awangaaaa,CH Kimmy YT
344,#522 Lichmere,2709,TZC,Sugar klan plus,Bobo Big Dog,D F O O
345,#172 Vunisia,2708,Golden Dawn,Golden Dawn,ovo wsdlsr,ATATURK  TR
346,#32 Chaswyth,2694,FZQ,FZQ,Buon,THZLY
347,#45 Wicatal,2692,Bluthund des Teufels,Vietnamese Group,Hung pro 111,Su ku ra IV
348,#274 Dresador,2692,Family Bu,Family Bu,Titan Bu,Titan Bu
349,#234 Praedel,2688,Arab  Union,GUNDAM RED ROSE,Emi4433,AsterX  BRH
350,#360 Mastoia,2679,TopDogs,TopDogs,251076726,110dz
351,#337 Ailmoor,2676,220,220,IoIAIoI,SkuIIKrusher
352,#601 Balglayne,2671,We are together,We are together,HillblyDelux,Rocxu
353,#636 Nieuweind,2658,Lovely Rabbit,Lovely Rabbit,King JDMarsh,fishballss
354,#377 Gratava,2657,Hellenic Dynasty,Hellenic Dynasty,Gilly75,Schrotti
355,#428 Kivmore,2655,Money To Win,Money To Win,ishi46,BiaNX XeROX
356,#495 Edgebourne,2655,Mysterious Kingdom,The Savage MisFitz,K    oalaAAA,KevinTheKunt
357,#512 Alcalves,2649,MED,Russian union,Ekin Zhang,majja EE
358,#154 Shavell,2648,Russian wolves,Russian wolves,DirtyLamb,SS PV
359,#128 Vriukholn,2637,Candy tree,Candy tree,Aww Ngan ch,Aww luo1227
360,#479 Karste,2634,DeathDeal3rs,Wicked Zero,hirorine,glock1911
361,#687 Ebreichnau,2628,The strongest person,The strongest person,NL6CJ888,BOYKA 13
362,#318 Molmas,2626,ZTD,Indonesia Keren,ZTD mangguo,Lord Phie
363,#117 Xatul,2614,Sai Gon Club,Sai Gon Club,Sackary,Sackary
364,#706 Ranedo,2611,Guardians of Ranedo,Guardians of Ranedo,Oo luffy oO,Prince Sugar
365,#99 Bila,2608,Running on the waves,Running on the waves,ADDICTinc,wangsss
366,#7 Wrador,2601,Warrior of Freedom,Warrior of Freedom,Empress CC,1 TX COWBOYS
367,#554 Tourhal,2601,Beautiful Death,Beautiful Death,PRETTY 1 ML,PRETTY 1 ML
368,#431 Reisellen,2600,SiyahSancak,SiyahSancak,DrizzDoUrden,MessiXXX
369,#451 Vieda,2600,Fight for territor,Knights on Fire,HK1 Lenki107,GG taeyeon
370,#371 Felche,2597,Formosa Sunrise,Deadly Angels,AbSoLutePoss,Samba10
371,#89 Rada,2595,Formosa  TW,C N,Ka lok168,Correiaa
372,#244 Khaizar,2595,IND WARRIORS,IND WARRIORS,Glimpse of,Glimpse of
373,#503 Elrum,2592,GRIMM,GRIMM,ojixichan,RS 6
374,#255 Adraborg,2592,GOK,GOK,SH X OP,SH         T
375,#272 Kaitis,2590,ANH EM VIET NAM,ANH EM VIET NAM,eppo7 cz,R A B E
376,#415 Caenleigh,2584,JPXCyu,Fight on Trojans,WSYJACKYSPG,Moonite
377,#545 Hrastek,2583,CAF,karakter kaldl,CAF super BB,Mr JJ Wing
378,#592 Neuschlag,2583,FeelingGood,FeelingGood,Kiliden,KK  Moon One
379,#175 Privaiba,2582,Sweet Home,Sweet Home,PGA Miss L,CBX  HADES
380,#387 Pearia,2581,Zhong Hua Members,Zhong Hua Members,gondeback,MONOLIT ZLO
381,#411 Tourac,2576,Czech Heroes,Czech Heroes,R3 BADR 2017,64 leonid AS
382,#250 Ranotia,2574,Everything Is Magic,Everything Is Magic,STM JiongHao,A D E Z
383,#119 Grouis,2571,MV9,Killer GangBang,xi   yang,PREMERA X
384,#364 Salanina,2565,JSK,Union Nova Warriors,Lucky chengz,BB0012
385,#463 Messindria,2563,Dragons  Lair,Dragons  Lair,VVVVVVVV,Jennifer08
386,#137 Ezlaeson,2562,Dirty Jokerz,Dirty Jokerz,vs   villain,1WhoKnows1
387,#26 Ilneostria,2560,MCA Homeland,MCA Homeland,qdMbp,MuRaT 3455
388,#652 Heilgries,2559,IGA,IGA,IGA  Pikaqiu,11INFERNO11
389,#11 Xiloberg,2557,Barbies Krak House,Barbies Krak House,Fire Xanders,XxDODGERSxX
390,#193 Haemuvell,2556,Born To Win,Born To Win,wi insky,wi insky
391,#270 Mevaria,2556,PTG,PTG,VXXXXXXXXXXV,COLD GIN
392,#208 Thaeviel,2554,Peace House,INDIAN REBELS,S Maay,NapoleonV3
393,#6 Odopia,2553,LionThai,LionThai,jiangl,JLove
394,#200 Ebrirezar,2550,YLR,UMRI V OGNE,Graziela1234,BigBadSky
395,#639 Darmschau,2549,Lucky To Be Together,FOUR KINGDOMS 4EVER,Aphi,SK wolfxx
396,#87 Vlester,2546,Bank of China,Klan Pecinta Kuliner,Jaime X,GaoLoong
397,#291 Ochaeviel,2543,W32,W32,W ll23ll,Sky Luck iFS
398,#69 Thovarial,2540,BANDA,BANDA,ValerieCapon,KeyboardlMan
399,#452 Seterfjord,2539,Forever abb,Forever abb,ABB Yu Da Da,xMadChildx
400,#67 Sirie,2536,Hurricane and Fire,Hurricane and Fire,iamBrenChong,KUDA MONTOK
401,#473 Salatne,2532,Pheonix reborn DWO,Pheonix reborn DWO,Voldemort77,Ned12321
402,#418 Estrerda,2518,Firedevils Unleashed,Firedevils Unleashed,PsyberDragon,SourProx
403,#633 Bremstadt,2512,Old guard TrI,Old guard TrI,Jason Park,Martlet
404,#204 Aekuris,2506,KingsQueensWarriors,KingsQueensWarriors,Com cn,x Fate x
405,#271 Aikedia,2503,china Airlnes,china Airlnes,CZ Jackie,china CZ3000
406,#692 Wittenrode,2501,lM2,lM2,L Resh,Wu  hai
407,#202 Staetia,2500,Brx Internacional,Brx Internacional,Lakota Sky,LAMPEAO
408,#632 Kaiserhurn,2497,JI  MO,T0F,BLG Ransir,gr8scott72
409,#588 Vlissingschede,2497,Fury of Battle,Fury of Battle,Mick X,KW3 HERMES
410,#460 Highgulf,2491,Bitti Demeden Bitmez,TurkiyeCumhuriyeti,A4 dsnggse,I Cengaver I
411,#347 Harellaas,2483,CLG,AKINCILAR,Capt lndiana,CaNavar48
412,#174 Auricia,2478,Love me no regrets,Love me no regrets,mai  mai,MXX TOP
413,#12 Gergrovia,2477,Whisper,Whisper,KXYZHI,oO JOKER Oo
414,#611 Ebreichzis,2474,Dark  Wolves,Dark  Wolves,LightTmUp,Q u e e n D
415,#502 Deerharbor,2470,TurkSavasLoncasi,TurkSavasLoncasi,Prinzessin75,ByDeLi
416,#279 Vaedal,2463,NET,OVO,Gold3np3anut,flash Fire 1
417,#327 Westermere,2463,jiang hu xian e,jiang hu xian e,HF Tim,dobbymax
418,#22 Yanarrah,2455,Korea Pibada Monster,Korea Pibada Monster,KP Blue tree,KP 110LGA
419,#178 Zulia,2455,TogetherAsOne,TogetherAsOne,SPAjiangyuhe,Sweet Cock
420,#472 Oakengrave,2453,KS hunter,KS hunter,rigard0,Yatagalasu
421,#4 Sivuled,2449,Giva Warriors,Giva Warriors,Jukar,Kanon 13
422,#521 Rwanstorm,2446,FrenchConnection,FrenchConnection,CHRIS 5,UrMyHcklBery
423,#73 Jatol,2440,Tian  Shen Dao,lojjhuuu,HellSpawn 6,A2momo
424,#180 Itenia,2439,Heat Inflared Team,Killing Spree,Piiikachuu,KimJongUschi
425,#295 Trubet,2436,lPhoenixl,lPhoenixl,wiiiiw,MSergiu
426,#374 Presmos,2436,Just korea 9,HANTU LAUT aw1,Sebamak69,xSCARSx
427,#298 Theovell,2428,JG8,JG8,ZG bing,0 vQQv v1
428,#690 Camleme,2427,cengxiaohuahuala,cengxiaohuahuala,xlx  tomfu,x     LyLeo
429,#528 Clifset,2425,CYPRUS,CYPRUS,CY   FoooF,BIGBIRD666
430,#526 Gimchaek,2420,YoungGlory,Wolfpack Hunters,Eric Tu,Shnigami
431,#277 Sigetus,2419,Ruthless Raiders,Crimson Blaze,Em liu,TheNudnik
432,#491 Hyvala,2419,BlueFire,DESORDENADA ESPARTA,Jnuzz,YQ Le1
433,#399 Valofeira,2417,Absolut Universalis,Absolut Universalis,PC GHuracan,4King  PHIEU
434,#275 Thaetis,2411,XDieGermanenX,XDieGermanenX,hobbit2,BallerGrum
435,#517 Presbron,2410,I F,B88,FZ HAO,F touxinx
436,#709 Xelia,2410,CC7,CC7,TNT1919,TNT1919
437,#40 Kumalon,2408,Q Original Gangstas,Q Original Gangstas,BigBadVoodoo,Lucifer Q
438,#107 Driydiff,2408,XAT,XAT,L 803,PJIaNoBaYa
439,#192 Goqasia,2407,PiShaFa of China,PiShaFa of China,Panthers89,Panthers89
440,#136 Iboilas,2404,UF0,UF0,K1 1x1z2,ILYDwarriorO
441,#405 Westderry,2400,Vicious Roses,Resistance Force,Zx A FeFe,D Titan
442,#402 Clondare,2399,T SOS,T SOS,BOB XiaoK777,LOS 3 ARMAS
443,#231 Gritepis,2398,Clear sky of Ukraine,Clear sky of Ukraine,bigbadlittle,KOPIIYC
444,#689 Naamburg,2387,Welcome Wangguo,LHP a,K    JiSheng,UDCPrince357
445,#264 Paichavell,2380,Monster Killers Only,Monster Killers Only,Trouser,Duke Killa
446,#147 Ikrepis,2356,China T Y,China T Y,Dracarys BBQ,B YuanAiwei
447,#21 Pravadul,2354,Eternity Warriors,Eternity Warriors,123 niyeyede,123 shen
448,#286 Stolaya,2345,Mainly Peaceful Ally,Mainly Peaceful Ally,T W J,bobbank
449,#561 Roosenzaal,2344,Russian Mafia,Russian Mafia,Yi Mu Mu,sapi kere
450,#407 Amstelmaar,2336,Sinful In Need,Judgement Day,Jackchen94,HaniWang
451,#25 Avarenth,2322,Bad Boys and Girls,Bad Boys and Girls,Rayleigh 9A,AirDefence
452,#618 Werdencona,2322,KarmaKazi,KarmaKazi,Blokus,x iTRAP x
453,#214 Emenad,2319,Playground,United States Nation,Baroque0013,cjm7545
454,#203 Nudriviel,2316,The New Hope,The New Hope,Tricuibap,Ong trum jav
455,#152 Providia,2312,Xx HoneyBadgers  xX,Bund voller Helden,345569185582,Tankbraker02
456,#422 Crandalholme,2312,PCF,PCF,Sun1027,l GAZuA l
457,#341 Drurzun,2301,HAPPY HUNTERS in VN,HAPPY HUNTERS in VN,A6 woxingde,G1 War All
458,#24 Arkkoneth,2300,Vikings From Hell,Vikings From Hell,GA XJM,S1 XMaiXH
459,#262 Uvearith,2297,CZ SK TEAM,CZ SK TEAM,CreepnDeath,Cucking Funt
460,#398 Gescia,2297,FHN FHn,FHN FHn,homsa toft,yuyuyuuuu
461,#566 Zeltbach,2293,K102,Gods ARk,LYZ shizi,CASTARK
462,#539 Baybury,2292,Iam LH,Death Of All,Elvira x,06CENUNG
463,#487 Lokeli,2288,DBG,DARK ANGELSS,TW StarHsu,DR STRANG3
464,#707 Echosian,2285,Castillo Alucard,Castillo Alucard,xifan12138,xifan12138
465,#469 Wittensloh,2285,GIANT KILLING,GIANT KILLING,SAMURAI HIRO,kochikame
466,#85 Xcaset,2280,BRx Origens,BRx Origens,CookieNCreme,xx 1Sgt xx
467,#609 Brasberk,2278,we are con and rmp,we are con and rmp,Red Mario,Sezfp
468,#173 Nritora,2278,made in china,BORN TO BE,xebec hu,AU Harbi
469,#207 Bonaria,2278,Inferno HQ,Inferno HQ,Ibru,KABUKI JPN
470,#620 Hallbirn,2275,6N6,6N6,CH sony3354,kygnbv
471,#420 Aveiga,2274,YEC,wu han jia you,Zemi K,Gods
472,#449 Pordenza,2274,One For All,One For All,R58R,tas  T devil
473,#163 Briarus,2267,hxd,hxd,Mr yunfei,Jack  y
474,#362 Menenikon,2267,Family of Ghosts,Family of Ghosts,HLE  LOVE,God of Crues
475,#357 Savozia,2266,RussiaTacticalSquad,RussiaTacticalSquad,x ANAR x,Bloody Lion
476,#189 Yavalon,2264,Legends Never Die VI,Legends Never Die VI,X VTEC,X VTEC
477,#531 Kenrano,2263,AIR of Russia,AIR of Russia,Lion 333,Maaaaaaaax
478,#309 Naamden,2253,Monster hunt rebels,N00bs Rising,STE068VALE,Kate Berry
479,#432 Ennerath,2244,888 ZaBuY 888,888 ZaBuY 888,1Cao Yin1,Oo   V   oO
480,#280 Thidora,2243,Again,Again,tajige,O Ri O AGA
481,#600 Macran,2242,Bondage Jokerz,Bondage Jokerz,LH XFH,Ninja Night
482,#237 Qedoven,2239,FOR JUSTICE,FOR JUSTICE,Eprimor,DM Grim NoRa
483,#64 Aazroedence,2236,940,940,bliss,o LHD o
484,#414 Darham,2235,Korea Power Warriors,Korea Power Warriors,Shadow 79,AT PIN
485,#447 Besantou,2235,Lunatic Giants X1X,RRA GHOSTS,MoChiChI XX,MoChiChI XX
486,#626 Ummerstedt,2226,Vietnamfc,Vietnamfc,Ngu Ho Tuong,KingKong Ip
487,#631 Epigueux,2222,Monster hunt Devils,Risen Guardians,M2 OSPK,M2 OSPK
488,#509 Lgrostoles,2215,OOOOOOOOOOOOOOOOOOOO,OOOOOOOOOOOOOOOOOOOO,Angel Go,ting Yang
489,#461 Ebonvault,2214,Top  of  sky,Guerreros Latinoss,T Penta Kill,Bumbl3bee
490,#438 Rosenhal,2207,DBY,DBY,YA yunyun,YA yueya029
491,#212 Cruxobet,2205,Kill All Rats,Kill All Rats,O R C A,Brian Damage
492,#537 Oceanbarrow,2201,HH68,HH68,Castro VENDO,ploufploufva
493,#317 Aguerda,2199,zuk bbang,zuk bbang,DEATHTRAP IX,Av4daKedavra
494,#127 Salo,2195,zAz,KAZ RU,GoldenKn1ghT,KingCobra kz
495,#434 Genneville,2195,Take Care to Happy,Take Care to Happy,Artur00,zzronaldozz
496,#370 Covimento,2192,Rovno Ukraina,Rovno Ukraina,Attack man,Attack man
497,#363 Agiodallos,2190,QQQQQQQQQQQQQQQQQQQQ,QQQQQQQQQQQQQQQQQQQQ,Hanzo ren,CC CODE
498,#587 Castlereen,2189,NB KING A,NB KING A,NB KingPlus,Boring202o
499,#263 Teyagia,2185,stand as wall,Zfj,Saw WT MAX,ZFJ Afj
500,#30 Ordea,2163,The World We World,CBObODA,ZZT JHX,Kisylya
501,#482 Shinegol,2162,BOPOMOFO,BOPOMOFO,Asahi mire,XpaapaaX
502,#139 Xock,2159,FVA,FVA,IV LK LANH,III Tra Xanh
503,#516 Bittleshore,2159,Attractive Chinese,Attractive Chinese,IOS  HuoWu,QueenToffee
504,#161 Drussalea,2156,Soldiers 4 Christ,Soldiers 4 Christ,ozmos,PoseidonAres
505,#383 Felgueida,2156,RussianMafia,X o 7 X,SAL 00000000,ArxodasDim
506,#140 Keokrork,2154,IDo,Honor and Dream,X727X,Ruuu33
507,#486 Magesham,2153,baLTai,baLTai,2FaT2RuN,drevinukas
508,#567 Wadenszona,2137,Faker,Faker,jdy Tiger,B H A C O T
509,#498 Dobmarok,2132,Liberty KOREA,FBD Mafia,Hunter KOR,TerryPark
510,#51 Phioburg,2128,V587     16D1,V587     16D1,087 nan ge,O82 yeye
511,#366 Kordono,2126,Kingsmen,Kingsmen,Tor200578,pankrt
512,#179 Ihexotis,2125,TOK,TOK,N1 CQ9 318,OlderBrother
513,#72 Cheoby,2120,WCF,WCF,SK ErJiu,KT  Bing
514,#385 Teneloma,2120,Blood Thirsty,Blood Thirsty,Scoochie,BirdBoXxX
515,#372 Lunse,2116,TIAN BA DONG BA TUA,TIAN BA DONG BA TUA,da nian nian,Z KISADAdi
516,#48 Verdehelm,2114,Hunting and Fighting,CKK,DYP34,SU NB74110
517,#412 Almeiche,2113,SUp,SUp,Mr Vergil,MoLoDoY
518,#41 Pridolent,2112,Monster Hunt Freaks,Bizim Tayfa,Bredow I,Bredow I
519,#356 Ganhos,2110,Ghost Alliance Lead,Ghost Alliance Lead,Royal Lokbon,Wow ru
520,#339 Steendrecht,2101,AYYILDIZ TEAM,YMF,18NOMO,18NOMO
521,#105 Roidofbert,2099,SNY,SNY,SNY Kane,yy098
522,#538 Molbu,2099,MaM,MaM,Angry Mila,D Crimson S
523,#453 Loulva,2086,Follow  me,HS4,WX xhs007,konsberg
524,#534 Heartham,2080,CCTV 1,CCTV 1,N88 Audi,TV JTzzz
525,#456 Florletta,2077,Semper Fidelis,Semper Fidelis,Mc Dolnal,Stooorm
526,#209 Ysetor,2067,May Day,May Day,M zeo FY,M zeo FY
527,#595 Langwerpen,2067,THE GREEK GLADIATORS,Arab1an Dons,CHIEF LOBO,HALAK
528,#23 Zulgardia,2065,SXG,SXG,0Sniper0,omarun
529,#14 Daalimatul,2064,Shuipo Liangshan,Shuipo Liangshan,JR Nuan,BiuBiuJoker
530,#612 Weinshal,2064,KO100,KO100,Lazarus01,StoneyRIP
531,#637 Pubonne,2055,Cookies of Doom,Cookies of Doom,HD VRod Der1,Dannyy
532,#38 Gotyheim,2054,We Never Exhausted,We Never Exhausted,Qoo10,Qoo10
533,#393 Getanea,2052,Maximum,Maximum,SK Moe14,Darth isBACK
534,#62 Oblipross,2051,WE ARE BP,WE ARE BP,Sbornaja,Sbornaja
535,#504 Chiognola,2048,Happygame,Happygame,GYC JuZi,IV Moc Mien
536,#217 Phorin,2045,happy happy,happy happy,Asteea,Asteea
537,#183 Naityth,2043,WeAreChampion,We Are Once,fc32,fc32
538,#585 Wittenlingen,2041,wcw,wcw,M Jie ge,SK XINGCHEN
539,#116 Eakrermouth,2040,Alpha Wolf,Alpha Wolf,Lorenzo Kang,IR Mehrdad
540,#296 Krirea,2034,Let Us Win,Let Us Win,China Hz Y,Hi Coochie
541,#481 Novanoa,2032,Atlantisland,Atlantisland,LMT  A  LWRT,Jacur
542,#248 Aquigon,2030,Arab GanGs,Arab GanGs,Hexz,BlueStars
543,#198 Radoxia,2029,P S U,P S U,Feng 10000,Stalkinya
544,#560 Newtowel,2029,NoPainNoGain,NoPainNoGain,RUN ISLAND,RUN ISLAND
545,#584 Boubeuge,2028,Ukrainian Lions,Ukrainian Lions,MTB 1977,ViIruss
546,#358 Aguarim,2022,Cth,Cth,Cth BBQ,Cth Elva
547,#123 Yoxgend,2020,Brother and beauty,Brother and beauty,Tuimao24,Tuimao24
548,#125 Ashubridge,2018,You kNow What,backonset,Small  Chan,TZ  CJ
549,#65 Otaekbert,2016,We are beauty,We are beauty,AGP Liu shan,ivanUFO
550,#186 Aiphenon,2016,Vietnam Unique,UNIDOS A UNA MISMA,Fierce 123,El Diablo VI
551,#42 Yeesteria,2012,Shadow of Fear,CEKTA,Nyte Myr,KA FA 1500
552,#39 Darikar,2009,Loving Love,Loving Love,The G E M,YGVvei
553,#101 Struilsall,2009,ICS,ICS,Blackman4589,Tweeds99
554,#219 Adailon,2009,Kingdom  Of  Heaven,Kingdom  Of  Heaven,poiuyt0825,tong0925
555,#144 Praezaria,2007,Baker Street 221B,Baker Street 221B,Odalong1long,Sun18923
556,#205 Cheakya,2007,Life is strength,Life is strength,Kwazii,Kwazii
557,#176 Cruvell,2006,KAFAMIZA GORE,KAFAMIZA GORE,CC Mago0124,ArmyOfDogs
558,#232 Ivrouniel,2006,Gam3 of Thrones,Gam3 of Thrones,HS Zhao,HS Keith81
559,#27 Chevea,2002,Twinkle Korea,Twinkle Korea,NOPARTY,T world
560,#146 Estravul,1997,TKOooOO,TKOooOO,T CanadaBEAR,T CanadaBEAR
561,#66 Ezand,1995,BlueMoon,Tan,Alan cat,Do 999
562,#191 Nyraiba,1994,GKY Tfa KKO,GKY Tfa KKO,Duke05,Dear nancys
563,#614 Thurroom,1994,TeaBaggin Yo Momma,TeaBaggin Yo Momma,XXE CWHDW,CoCo Pi
564,#548 Bavaniei,1992,Mojiri conggaru,Elements of Friends,asdf79,V E G E T A
565,#47 Cedetel,1991,Hotel for Vietnamese,Hotel for Vietnamese,KEDVHN,SiNGHA J
566,#206 Oustegalla,1991,Good Job,wu suo wei,LieHuoQiLin,diguagan
567,#16 Brimordia,1986,CLF AND SAKYA,CLF AND SAKYA,Pover124,MA  666
568,#501 Alconada,1983,Bars 1,Bars 1,DreamKiller9,Brylik
569,#388 Agiatras,1980,RussianAllianceGuild,RussianAllianceGuild,PrimusMortem,Num 12
570,#556 Martiyonne,1980,EZ DO DANCE,EZ DO DANCE,Tevaras,UNKOMAN CEO
571,#256 Ivoton,1974,Doors to Valhalla,Doors to Valhalla,Spectrooo,F  R  E  D
572,#322 Pavilla,1972,I Love Justice,I Love Justice,My Lord 02,sweetlullaby
573,#450 Grebonne,1971,Vip China,Vip China,Nieking,ATC QUEEN C
574,#355 Estredes,1970,S0S,S0S,C hoa1,CHN  05
575,#2 Fairmeth,1969,Renaissance d Asgard,Renaissance d Asgard,DD 993,WOLFMAN RD
576,#100 Klustadena,1967,War and Peace,War and Peace,QT  SAS  5,QT E etry
577,#576 Dordrecht,1966,Morbid Angels,Infernal Deviants,GIVING LIFE,King0fWars
578,#532 Saltglen,1956,CFO,CFO,We manonfire,TOSUNPASAM
579,#235 Wocuria,1955,Huawer Fly Huawer,Huawer Fly Huawer,HFH KenKissY,HFH T5T5
580,#86 Oubesey,1950,FIFI YARD,FIFI YARD,Wuditutu9527,Armen220
581,#28 Gaeniel,1948,Warrior of Dark Hero,CHT 3T,Ksat,God At War
582,#78 Qranwood,1944,Gaudinesss,Gaudinesss,BOSS williu,CGN NijeL
583,#240 Gidoria,1940,Qin Empire,Qin Empire,Gustave,CandyAndy
584,#80 Strakora,1939,sunshine1,sunshine1,FK starbar,AQB DONGDONG
585,#20 Nevistia,1938,Unity   is  strength,Unity   is  strength,We Hang,WeXD888XD
586,#581 Noordmuide,1937,AER grg,ULTIMATUM X,Jazz999,God   War
587,#571 Alsfingen,1935,We are winner,We are winner,KX farmer,vdp031
588,#529 Dustgrove,1934,YYM,YYM,A Mao Xiong,A Mao Xiong
589,#247 Shikubia,1933,Deutsche Basis,Deutsche Basis,Blackbert 1,SUGAR ICE XX
590,#58 Wemburgh,1930,Fighter not quitter,Fighter not quitter,Lie Fire,Badr2
591,#507 Dycairn,1928,STARloveMOON,STARloveMOON,kong   long,VAT69TAV
592,#81 Israjoni,1925,AloneFamily,AloneFamily,Inno86,SamiDic
593,#18 Erenvale,1922,KLD,Heroes Of Exile,Flatter 1,Bo Sal
594,#568 Naammel,1919,LN7,LN7,LN GTA,Toughie
595,#569 Boullac,1912,Czech Family,Czech Family,Andy d diguo,M ShinYang
596,#17 Charoneth,1911,Angel and Devil,Angel and Devil,LoTTerY A,Robin XYZ PA
597,#294 Awrudia,1910,WildWestOutlaws,WildWestOutlaws,tsutomun,Thumbs Ups
598,#552 Aalrup,1904,Taiwan Zero Limits,Taiwan Zero Limits,JOKER    S,Paul Shark
599,#603 Amsterdaal,1903,pan,pan,62696,WhatDa
600,#220 Qilux,1901,Zal,Zal,xm 123eq,xm 123eq
601,#265 Athexica,1899,YXM,Guerreros Hispanos I,YX python 08,YX magic004
602,#273 Phesia,1898,Int Farmers Union 1,Int Farmers Union 1,KiNGB0R0MiR,Lionzilla
603,#44 Rulavile,1895,Knights of new dawn,Knights of new dawn,Mr Gun 5,500 BILLION
604,#61 Vihsas,1892,omnium gntium victor,omnium gntium victor,LadyBaby X,BOY SAYAN
605,#302 Maussis,1892,Athens violent zeal,Athens violent zeal,taku 333,JerryLin168
606,#243 Axolon,1891,VN Vi Aztec,VN Vi Aztec,Yamatime957,BrownBear0
607,#333 Northport,1888,LLM,League of Nations,AC YoYo,Ottohockey
608,#559 Donegar,1877,ZTC AND LSC,ZTC AND LSC,CY Shaing,YU HAN CHEN
609,#464 Loulhada,1871,88XX,Coccinelles Enragees,Beldinn,biubiupiuu
610,#443 Genward,1870,CTV CTV CTV,JULGAMENTO BRASIL,GGZ 888,xiaosongsu
611,#492 Jeseong,1868,G for hunters,G for hunters,Oniuma,Wang Long I
612,#572 Oderlingen,1866,Enter the Void,Dai Viet Empire,Shima Yi,CH Qing Jiu
613,#185 Oqubeith,1865,Hong Kong Big Family,Hong Kong Big Family,i carey,TinLi
614,#401 Obernrath,1862,Int Farmers Union,Int Farmers Union,jun er,ACE FISH
615,#34 Kesimio,1860,The old Yin force,The old Yin force,LYB CNTCP,HaH AH1999
616,#390 Buvera,1858,IMMORTAL REBELS,IMMORTAL REBELS,Gagagigo,smart SM
617,#162 Nezia,1851,Our battlefield,Our battlefield,Rcaiyi,ABY baoyu922
618,#508 Balatarsk,1851,neure,neure,CFK TONY365,SaltFish009
619,#478 Pachuco,1848,LYY,LYY,ZYshiming,XxGRUMPYxX
620,#151 Vrobis,1846,DBm x FAn,DBm x FAn,LPZ RAIN,LPZ RAIN
621,#594 Warelaas,1846,La1,La1,LA Zzzz888,LA Zzzz888
622,#319 Rhormi,1838,THE RAGE,THE RAGE,ice angler,Blakhand
623,#394 Vittoramo,1836,Guarding Friendship,Guarding Friendship,Rxx James,IML Accord
624,#378 Zaruna,1835,AicI,AicI,DT BXXKL,iz2pxieli80
625,#239 Aukreral,1834,We are drinking like,We are drinking like,781ORB,Apink9
626,#106 Qedretver,1831,ZHG,LEGI0N,OVO ViPo,Ailijialu
627,#145 Aithonia,1829,The  Farmers  union,The  Farmers  union,The farm man,The farm man
628,#530 Lystrup,1829,For  new us,For  new us,KEM Da mie,JokerFish
